symbol,turnover24h,exchange,category,logo,devAct,devActUrl,minQty,minNotional,tickSize
1000FLOKIUSDT,33295544.7070,by,IV,1000floki.svg,medium,https://www.tradingview.com/x/MaQjQJ6L/,1,5,0.00001
TOKENUSDT,24833245.7847,by,IV,token.png,undefined,undefined,10,5,0.00001
10000LADYSUSDT,24601055.8292,by,IV,10000ladys.png,undefined,undefined,100,5,0.0000001
1000BONKUSDT,19980446.3953,by,IV,1000bonk.svg,undefined,undefined,100,5,0.0000010
1000XECUSDT,15910998.9174,biby,IV,1000xec.svg,high,https://www.tradingview.com/x/KKuZJoEf/,10,5,0.00001
10000SATSUSDT,14070515.6468,by,IV,10000sats.svg,undefined,undefined,100,5,0.000001
BIGTIMEUSDT,44452048.2745,biby,IV,bigtime.png,high,https://www.tradingview.com/x/603KyobR/,1,5,0.0001
BSVUSDT,40371510.2849,biby,IV,bsv.svg,high,https://www.tradingview.com/x/L8et1dpg/,0.01,5,0.01
KASUSDT,11110076.9364,biby,IV,kas.png,medium,https://www.tradingview.com/x/NUrYngT8/,10,5,0.00001
TAOUSDT,10886525.3536,by,IV,tao.png,undefined,undefined,0.001,5,0.01
10000000AIDOGEUSDT,10435789.0557,by,IV,10000000aidoge.png,undefined,undefined,100,5,0.000001
AGIUSDT,10214819.8605,by,IV,agi.svg,undefined,undefined,10,5,0.00001
FLRUSDT,9209314.5368,by,V,flr.png,undefined,undefined,10,5,0.00001
PUNDUUSDT,8337229.5982,by,V,pundu.png,undefined,undefined,10,5,0.00001
AKROUSDT,8067643.2765,by,V,akro.svg,undefined,undefined,100,5,0.000001
BEAMUSDT,7279129.5600,by,V,beam.png,undefined,undefined,100,5,0.000001
DODOUSDT,6925248.7260,by,V,dodo.svg,undefined,undefined,1,5,0.00001
LOOKSUSDT,6527087.0069,by,V,looks.svg,undefined,undefined,0.1,5,0.00001
ZETAUSDT,21080224.8622,biby,IV,zeta.png,undefined,undefined,1,5,0.0001
ETHWUSDT,6000854.7358,biby,IV,ethw.png,low,https://www.tradingview.com/x/m5NVj5ma/,0.01,5,0.001
LUNA2USDT,24533499.7692,biby,IV,luna2.svg,undefined,undefined,0.1,5,0.0001
ORNUSDT,5469207.2140,by,V,orn.svg,undefined,undefined,0.1,5,0.001
LTOUSDT,5392527.2518,by,V,lto.svg,undefined,undefined,1,5,0.0001
ALPACAUSDT,5366683.5228,by,V,alpaca.png,undefined,undefined,1,5,0.00001
VTHOUSDT,5065972.0910,by,V,vtho.png,undefined,undefined,100,5,0.000001
VRAUSDT,4841631.0541,by,V,vra.png,undefined,undefined,100,5,0.000001
MAVIAUSDT,15752101.3067,biby,IV,mavia.png,undefined,undefined,0.1,5,0.001
SILLYUSDT,4113166.7019,by,V,silly.png,undefined,undefined,1,5,0.00001
TOMIUSDT,4055429.9150,by,V,tomi.png,undefined,undefined,0.1,5,0.0001
ORBSUSDT,10034619.3345,biby,IV,orbs.svg,high,https://www.tradingview.com/x/cReiyptN/,10,5,0.00001
CVCUSDT,3883274.5410,by,V,cvc.svg,undefined,undefined,1,5,0.00001
XMRUSDT,13724979.0330,biby,IV,xmr.svg,high,https://www.tradingview.com/x/kHTlxRqn/,0.01,5,0.01
UMAUSDT,37366169.0235,biby,IV,uma.svg,high,https://www.tradingview.com/x/9Rp4nVpQ/,0.1,5,0.001
MOBILEUSDT,3273184.6463,by,V,mobile.png,undefined,undefined,100,5,0.000001
MBOXUSDT,2893137.6722,by,V,mbox.png,undefined,undefined,1,5,0.0001
1000LUNCUSDT,19865730.4168,biby,IV,1000lunc.svg,high,https://www.tradingview.com/x/Jmqyusby/,1,5,0.00001
1CATUSDT,2660174.1155,by,V,1cat.png,undefined,undefined,10,5,0.000001
DGBUSDT,2654289.6162,by,V,dgb.svg,undefined,undefined,10,5,0.000001
RAREUSDT,2583944.2403,by,V,rare.png,undefined,undefined,1,5,0.0001
XEMUSDT,27505383.4589,by,IV,xem.svg,high,https://www.tradingview.com/x/LDon5VMx/,1,5,0.00001
BTCUSDT,2977077447.90829600,biby,I,btc.svg,high,,0.001,5,0.10
ETHUSDT,1479722101.19612800,biby,I,eth.svg,high,,0.01,5,0.01
SOLUSDT,628733776.88820000,biby,I,sol.svg,high,,0.1,5,0.010
ENAUSDT,535294618.90850000,biby,I,ena.png,undefined,,1,5,0.0001
DOGEUSDT,492928617.18637000,biby,I,doge.svg,high,https://www.tradingview.com/x/3X2IzpYW/,1,5,0.00001
WIFUSDT,276365483.06341800,biby,I,wif.png,undefined,undefined,1,5,0.0001
BNBUSDT,265187841.86640000,biby,I,bnb.svg,high,https://www.tradingview.com/x/RPC379Yj/,0.01,5,0.05
XRPUSDT,243528212.86480000,biby,I,xrp.svg,high,,1,5,0.0001
CKBUSDT,205869044.23187100,biby,I,ckb.svg,high,https://www.tradingview.com/x/w8UUpYYU/,10,5,0.000001
BOMEUSDT,200297048.53923800,biby,I,bome.png,undefined,undefined,100,5,0.000001
ORDIUSDT,194147036.98972000,biby,II,ordi.png,high,https://www.tradingview.com/x/iQLMxGMg/,0.01,5,0.001
BCHUSDT,133752751.10360000,biby,II,bch.svg,low,https://www.tradingview.com/x/5EgUB5MY/,0.01,5,0.05
NEARUSDT,131040529.30480000,biby,II,near.svg,high,https://www.tradingview.com/x/NomJAPF6/,0.1,5,0.001
LTCUSDT,114317774.38167000,biby,II,ltc.svg,medium,https://www.tradingview.com/x/sliW2DxU/,0.1,5,0.01
ALTUSDT,106245785.23966000,biby,II,alt.png,undefined,undefined,1,5,0.0001
PENDLEUSDT,104611555.81128000,biby,II,pendle.svg,high,https://www.tradingview.com/x/BdBKQNeC/,1,5,0.0001
YGGUSDT,96250580.67800000,biby,III,ygg.png,undefined,undefined,0.1,5,0.0001
ARBUSDT,92052646.83533000,biby,III,arb.png,undefined,undefined,0.1,5,0.0001
AVAXUSDT,91064999.23910000,biby,III,avax.svg,high,https://www.tradingview.com/x/7THSCvoC/,0.1,5,0.005
RUNEUSDT,88126698.80820000,biby,III,rune.svg,high,https://www.tradingview.com/x/Vd110QUd/,0.1,5,0.001
WUSDT,87592962.48100000,biby,III,w.png,undefined,undefined,0.1,5,0.0001
FTMUSDT,78100183.20770000,biby,III,ftm.svg,high,https://www.tradingview.com/x/THuKZdA1/,1,5,0.0001
BICOUSDT,71397232.27211700,bi,III,bico.png,high,https://www.tradingview.com/x/TIa80Ydz/,1,0,0.0001000
FETUSDT,69743091.48750000,bi,III,fet.svg,high,https://www.tradingview.com/x/Zg555SdI/,1,0,0.0001000
ADAUSDT,68197576.39251000,biby,III,ada.svg,high,https://www.tradingview.com/x/O8bh5oVr/,1,5,0.0001
JTOUSDT,67410512.93388000,biby,III,jto.png,undefined,undefined,0.1,5,0.001
GALAUSDT,66916011.64119000,biby,III,gala.svg,undefined,https://www.tradingview.com/x/NFGA2Jtr/,1,5,0.00001
OPUSDT,66570125.94404000,biby,III,op.png,high,https://www.tradingview.com/x/17esbFDO/,0.1,5,0.0001
WLDUSDT,64964457.90280000,biby,III,wld.png,undefined,undefined,0.1,5,0.001
FILUSDT,61568187.94193000,biby,III,fil.svg,high,https://www.tradingview.com/x/KHCsMWqP/,0.1,5,0.001
MATICUSDT,59176522.89320000,biby,III,matic.svg,high,https://www.tradingview.com/x/WsFRAokm/,1,5,0.0001
BELUSDT,59118603.36212000,by,III,bel.svg,undefined,https://www.tradingview.com/x/sUkLVYn7/,1,5,0.0001
OMUSDT,56268163.72072000,biby,III,om.png,undefined,https://www.tradingview.com/x/cdhv2ZX1/,1,5,0.00001
ETCUSDT,55616447.23640000,biby,III,etc.svg,high,https://www.tradingview.com/x/CGLzc6Jj/,0.1,5,0.001
AEVOUSDT,55548456.41320000,biby,III,aevo.png,undefined,undefined,0.1,5,0.0001
SFPUSDT,54932244.65380000,by,III,sfp.svg,medium,https://www.tradingview.com/x/WZ1qIacn/,0.1,5,0.0001
LINKUSDT,52883996.96408000,biby,III,link.svg,high,,0.1,5,0.001
JUPUSDT,49764542.79167000,biby,IV,jup.png,undefined,undefined,1,5,0.0001
APTUSDT,47911654.42241600,biby,IV,apt.png,high,https://www.tradingview.com/x/01AOHMVF/,0.01,5,0.0005
DOTUSDT,44136209.18236000,biby,IV,dot.svg,high,https://www.tradingview.com/x/ZQzNLMCm/,0.1,5,0.001
NEOUSDT,43768283.62910000,by,IV,neo.svg,high,https://www.tradingview.com/x/bMPvNAu5/,0.01,5,0.001
SUIUSDT,43236161.43043000,biby,IV,sui.png,high,https://www.tradingview.com/x/yQv1YJBP/,10,5,0.00010
RNDRUSDT,41680348.79699000,biby,IV,rndr.png,undefined,undefined,0.1,5,0.00010
LDOUSDT,40918498.54505000,biby,IV,ldo.svg,high,https://www.tradingview.com/x/EFaVgHci/,0.1,5,0.0005
LEVERUSDT,40726036.01027800,biby,IV,lever.png,undefined,https://www.tradingview.com/x/IcfsHz9l/,100,5,0.000001
INJUSDT,40325289.12900000,biby,IV,inj.png,medium,https://www.tradingview.com/x/0gxlIWtS/,0.1,5,0.0010
TRXUSDT,38959850.87257300,biby,IV,trx.svg,high,https://www.tradingview.com/x/Okuzho0k/,1,5,0.00001
MANTAUSDT,38319057.75310000,biby,IV,manta.png,undefined,undefined,0.1,5,0.0001
POLYXUSDT,37560810.63371000,biby,IV,polyx.png,medium,https://www.tradingview.com/x/sIqQJ9If/,1,5,0.0001
ICPUSDT,36653323.92328000,by,IV,icp.svg,high,https://www.tradingview.com/x/EvTqwQwn/,0.1,5,0.001
STXUSDT,35998432.66830000,bi,IV,stx.svg,undefined,https://www.tradingview.com/x/Jl8s7GH3/,1,0,0.0001000
STRKUSDT,35887131.13508000,biby,IV,strk.png,undefined,https://www.tradingview.com/x/oyq0ZivN/,0.1,5,0.001
TIAUSDT,28800976.85400000,biby,IV,tia.png,undefined,undefined,0.1,5,0.0010
AGIXUSDT,28645680.83243000,bi,IV,agix.png,high,https://www.tradingview.com/x/uNkQcZhW/,1,0,0.0001000
AXLUSDT,27159375.73962600,biby,IV,axl.png,high,https://www.tradingview.com/x/Kmguc0ER/,1,5,0.0001
PIXELUSDT,26957004.13330000,biby,IV,pixel.png,undefined,undefined,1,5,0.0001
KEYUSDT,26903224.61926700,biby,IV,key.svg,undefined,https://www.tradingview.com/x/1cqfj23N/,100,5,0.0000005
GMTUSDT,26644553.38935000,biby,IV,gmt.png,low,https://www.tradingview.com/x/7CFfD5Ss/,1,5,0.0001
ANKRUSDT,26050677.09220100,biby,IV,ankr.svg,medium,https://www.tradingview.com/x/tV0PCLg3/,1,5,0.00001
ATOMUSDT,25173053.46842000,bi,IV,atom.svg,high,https://www.tradingview.com/x/g9IggR5j/,0.01,0,0.001
PORTALUSDT,25144325.42583000,biby,IV,portal.png,undefined,undefined,0.1,5,0.0001
C98USDT,24844031.44264000,biby,IV,c98.svg,medium,https://www.tradingview.com/x/77HXyRSH/,0.1,5,0.0001
JASMYUSDT,24402764.88835970,biby,IV,jasmy.png,undefined,https://www.tradingview.com/x/6wzaQySQ/,1,5,0.000001
SEIUSDT,24376311.05058000,biby,IV,sei.png,high,https://www.tradingview.com/x/SzyDucR2/,1,5,0.00010
MEMEUSDT,23466292.20280700,biby,IV,meme.png,undefined,https://www.tradingview.com/x/l7L6nilt/,10,5,0.00001
NKNUSDT,22947211.60020000,by,IV,nkn.svg,low,https://www.tradingview.com/x/RXKBkezO/,1,5,0.00001
VETUSDT,22907262.08919400,biby,IV,vet.svg,high,https://www.tradingview.com/x/9Uy06nVw/,1,5,0.00001
MKRUSDT,22859443.93700000,biby,IV,mkr.svg,high,https://www.tradingview.com/x/29f7yNid/,0.001,5,0.1
XVGUSDT,20923877.29650600,biby,IV,xvg.svg,medium,https://www.tradingview.com/x/NzW0ilPz/,100,5,0.0000005
CFXUSDT,20866256.81430000,biby,IV,cfx.svg,medium,https://www.tradingview.com/x/cOJnoicR/,1,5,0.00001
CHZUSDT,19516527.64950000,biby,IV,chz.svg,undefined,https://www.tradingview.com/x/NAXuh8zU/,1,5,0.00001
DYDXUSDT,19104610.74670000,biby,IV,dydx.png,high,https://www.tradingview.com/x/SK8efRqo/,0.1,5,0.001
APEUSDT,18962535.58536000,biby,IV,ape.png,undefined,https://www.tradingview.com/x/ZixvIsJr/,0.1,5,0.0001
IOTXUSDT,18894060.54818000,biby,IV,iotx.svg,high,https://www.tradingview.com/x/mpZtTygk/,1,5,0.00001
GRTUSDT,18840153.79350000,biby,IV,grt.svg,medium,https://www.tradingview.com/x/5ZrmmdvS/,0.1,5,0.00001
UNIUSDT,18729759.84559000,biby,IV,uni.svg,high,https://www.tradingview.com/x/YDhxfq4M/,0.1,5,0.001
TRUUSDT,18467785.89954000,biby,IV,tru.svg,low,https://www.tradingview.com/x/tDGWPDPS/,1,5,0.00001
ZRXUSDT,18197590.21480000,biby,IV,zrx.svg,medium,https://www.tradingview.com/x/2CEBBajZ/,1,5,0.0001
ARKMUSDT,17143425.88700000,biby,IV,arkm.png,undefined,undefined,1,5,0.00010
XVSUSDT,17112009.23520000,biby,IV,xvs.png,undefined,https://www.tradingview.com/x/6YKIt7zM/,0.1,5,0.0010
HIGHUSDT,16738029.22416600,biby,IV,high.svg,low,https://www.tradingview.com/x/D7cmEQ1n/,0.1,5,0.0001
GMXUSDT,15602072.24908000,biby,IV,gmx.png,high,https://www.tradingview.com/x/dpFpb17m/,0.01,5,0.005
SANDUSDT,15580577.34730000,biby,IV,sand.svg,medium,https://www.tradingview.com/x/3CyV07Dn/,1,5,0.0001
RSRUSDT,15397446.39979360,by,IV,rsr.svg,high,https://www.tradingview.com/x/JbLf84gT/,10,5,0.000001
HBARUSDT,14869167.08940000,by,IV,hbar.svg,high,https://www.tradingview.com/x/9JLRdGNf/,1,5,0.00001
SSVUSDT,14202410.63817000,biby,IV,ssv.png,high,https://www.tradingview.com/x/L97pHQc4/,0.01,5,0.005
QTUMUSDT,14185662.60250000,biby,IV,qtum.svg,low,https://www.tradingview.com/x/Dq7gqCoS/,0.1,5,0.001
AIUSDT,13534656.20100000,biby,IV,ai.png,undefined,https://www.tradingview.com/x/oiTPgYxA/,0.1,5,0.0001
KAVAUSDT,13402391.03030000,biby,IV,kava.svg,high,https://www.tradingview.com/x/sB2ocJ5U/,0.1,5,0.0001
ARUSDT,13344082.69610000,biby,IV,ar.svg,medium,https://www.tradingview.com/x/Dkknfi4k/,0.1,5,0.001
THETAUSDT,13202700.49940000,biby,IV,theta.svg,medium,https://www.tradingview.com/x/4z1l1SgI/,0.1,5,0.0001
DYMUSDT,12444633.76620000,biby,IV,dym.png,undefined,undefined,0.1,5,0.001
PYTHUSDT,12087888.87240000,biby,IV,pyth.png,undefined,undefined,1,5,0.0001
AAVEUSDT,12063268.37508000,biby,IV,aave.svg,high,https://www.tradingview.com/x/lHwR8JuO/,0.01,5,0.01
MASKUSDT,12061484.84790000,biby,IV,mask.png,medium,https://www.tradingview.com/x/9dHkdu39/,0.1,5,0.001
FRONTUSDT,11831785.56990000,biby,IV,front.svg,undefined,https://www.tradingview.com/x/pv28rO2f/,1,5,0.00010
EOSUSDT,11703491.68873000,biby,IV,eos.svg,medium,https://www.tradingview.com/x/7wRcSSDB/,0.1,5,0.0001
ROSEUSDT,11678301.52618800,biby,IV,rose.svg,high,https://www.tradingview.com/x/vv0hb0WQ/,1,5,0.00001
ALPHAUSDT,11511862.92350000,by,IV,alpha.svg,low,https://www.tradingview.com/x/Vqt2HYyc/,1,5,0.00001
OCEANUSDT,11296049.52700000,bi,IV,ocean.svg,high,https://www.tradingview.com/x/Gy6m0f6t/,1,0,0.00010
ENSUSDT,11064248.25450000,biby,IV,ens.png,medium,https://www.tradingview.com/x/qneYBReu/,0.1,5,0.001
VANRYUSDT,10977226.37927000,biby,IV,vanry.png,undefined,undefined,1,5,0.0001
ZENUSDT,10838197.86240000,biby,IV,zen.svg,high,https://www.tradingview.com/x/dgNF9Qbv/,0.1,5,0.001
AXSUSDT,10789684.48504000,biby,IV,axs.svg,medium,https://www.tradingview.com/x/wKRp4HpQ/,0.1,5,0.001
CAKEUSDT,10531151.78218000,biby,IV,cake.svg,undefined,undefined,0.1,5,0.001
BNTUSDT,10428272.16163000,biby,IV,bnt.svg,high,https://www.tradingview.com/x/ifVRkR66/,1,5,0.00005
DUSKUSDT,10061868.61020000,biby,IV,dusk.png,high,https://www.tradingview.com/x/oIjNp9yp/,1,5,0.00001
HIFIUSDT,10008281.53440000,biby,IV,hifi.png,low,https://www.tradingview.com/x/xJ15CWeB/,1,5,0.00010
XLMUSDT,9975132.42800000,biby,V,xlm.svg,high,https://www.tradingview.com/x/lkyrGvYu/,1,5,0.00001
ALGOUSDT,9669745.49490000,biby,V,algo.svg,high,https://www.tradingview.com/x/YzECttAs/,0.1,5,0.0001
MINAUSDT,9549458.32664000,biby,V,mina.svg,high,https://www.tradingview.com/x/2XnURevD/,0.1,5,0.0001
GASUSDT,9460424.00560000,biby,V,gas.png,undefined,https://www.tradingview.com/x/kjS8uTPG/,0.1,5,0.001
LQTYUSDT,9449693.25620000,biby,V,lqty.svg,high,https://www.tradingview.com/x/l9NU7asK/,0.1,5,0.0001
STGUSDT,9303866.71332000,biby,V,stg.png,undefined,https://www.tradingview.com/x/dajlVVTB/,0.1,5,0.0001
NTRNUSDT,8935344.64711000,biby,V,ntrn.png,undefined,undefined,1,5,0.0001
CHRUSDT,8884488.20700000,bi,V,chr.png,undefined,https://www.tradingview.com/x/zbn0FfuY/,1,0,0.0001
FLMUSDT,8772433.65040000,biby,V,flm.png,low,https://www.tradingview.com/x/30eokEov/,1,5,0.00001
NFPUSDT,8673693.37617000,biby,V,nfp.png,undefined,undefined,0.1,5,0.0001
CELOUSDT,8672618.70570000,biby,V,celo.svg,high,https://www.tradingview.com/x/xA2CPHlQ/,0.1,5,0.0001
CRVUSDT,8560816.14637000,biby,V,crv.svg,high,https://www.tradingview.com/x/JoGBlH8t/,0.1,5,0.0001
SNXUSDT,8551567.39860000,biby,V,snx.svg,high,https://www.tradingview.com/x/LPixgwXW/,0.1,5,0.001
MAVUSDT,8458481.68370000,biby,V,mav.png,undefined,undefined,1,5,0.0001
XAIUSDT,8449670.45348000,biby,V,xai.png,undefined,undefined,1,5,0.0001
WAVESUSDT,8405782.83792000,biby,V,waves.svg,high,https://www.tradingview.com/x/bvL4yIq2/,0.1,5,0.0005
EGLDUSDT,8119742.29940000,biby,V,egld.svg,high,https://www.tradingview.com/x/6kccFvEe/,0.01,5,0.01
FLOWUSDT,7601093.08033000,biby,V,flow.svg,high,https://www.tradingview.com/x/2bfOJOC7/,0.1,5,0.0001
OGNUSDT,7575307.44560000,bi,V,ogn.svg,high,https://www.tradingview.com/x/wtNhJfB0/,1,0,0.0001
MAGICUSDT,7517622.12727000,biby,V,magic.png,medium,https://www.tradingview.com/x/rWWP0AT2/,1,5,0.0001
ACEUSDT,7400071.59002000,biby,V,ace.png,undefined,undefined,0.1,5,0.001
1INCHUSDT,7396537.45537000,biby,V,1inch.svg,high,https://www.tradingview.com/x/HmO26aJW/,0.1,5,0.0001
ZILUSDT,7361741.21995400,biby,V,zil.svg,high,https://www.tradingview.com/x/DKt2Lol9/,10,5,0.00001
MANAUSDT,7137813.09290000,biby,V,mana.svg,high,https://www.tradingview.com/x/TFF70Y6C/,0.1,5,0.0001
BONDUSDT,6972638.08135000,biby,V,bond.svg,low,https://www.tradingview.com/x/FXFWgM14/,0.1,5,0.001
IMXUSDT,6968721.52320700,biby,V,imx.png,high,https://www.tradingview.com/x/j29ljzF5/,0.1,5,0.0001
BLURUSDT,6951302.68849000,biby,V,blur.png,undefined,https://www.tradingview.com/x/Q0isLsqx/,1,5,0.0001
CYBERUSDT,6787627.07604000,biby,V,cyber.png,undefined,undefined,0.1,5,0.0010
TUSDT,6587065.32489200,biby,V,t.png,high,https://www.tradingview.com/x/lBdXF27k/,10,5,0.00001
MOVRUSDT,6533772.17825400,biby,V,movr.png,low,https://www.tradingview.com/x/U7pppFuG/,0.1,5,0.001
UNFIUSDT,6515874.73730000,bi,V,unfi.svg,undefined,https://www.tradingview.com/x/9KCFybNi/,0.1,0,0.001
ONTUSDT,6341927.82740000,biby,V,ont.svg,medium,https://www.tradingview.com/x/tLBmTChd/,1,5,0.00005
BAKEUSDT,6246649.68983000,by,V,bake.png,low,https://www.tradingview.com/x/rLjJQWs0/,0.1,5,0.0001
COTIUSDT,6242995.36504000,biby,V,coti.svg,low,https://www.tradingview.com/x/UeWVkVed/,1,5,0.00001
JOEUSDT,6149585.60052700,biby,V,joe.png,high,https://www.tradingview.com/x/RupMTamU/,1,5,0.00005
REEFUSDT,6112684.53657200,biby,V,reef.png,low,https://www.tradingview.com/x/8weIeqa2/,10,5,0.000001
IDUSDT,6034630.19696000,biby,V,id.png,undefined,https://www.tradingview.com/x/TO0viAiX/,1,5,0.00005
BADGERUSDT,5901154.98922000,biby,V,badger.png,low,https://www.tradingview.com/x/XD5CviGK/,0.1,5,0.0010
ATAUSDT,5722973.80310000,biby,V,ata.png,medium,https://www.tradingview.com/x/nM2xIHGM/,10,5,0.00001
PEOPLEUSDT,5532474.37684000,biby,V,people.png,undefined,https://www.tradingview.com/x/FYdxLmec/,1,5,0.00001
SUSHIUSDT,5442841.82310000,biby,V,sushi.svg,medium,https://www.tradingview.com/x/2EetiChf/,0.1,5,0.0001
TRBUSDT,5183053.36220000,by,V,trb.svg,high,https://www.tradingview.com/x/uh6jbncm/,0.01,5,0.010
LPTUSDT,5174269.06940000,by,V,lpt.svg,high,https://www.tradingview.com/x/2sarAAvD/,0.1,5,0.001
