symbol,turnover24h,exchange,category,logo,devAct,devActUlr
BANDUSDT,3926242.69940000,bi,V,band.svg,high,https://www.tradingview.com/x/uDR3hfSC/
LRCUSDT,3851483.35950000,bi,V,lrc.svg,high,https://www.tradingview.com/x/UzLLhswj/
FXSUSDT,3816036.93260000,bi,V,fxs.png,high,https://www.tradingview.com/x/LzS1g0z5/
MDTUSDT,3605548.40127000,bi,V,mdt.png,low,https://www.tradingview.com/x/hpRqKddI/
EDUUSDT,3592719.49302000,bi,V,edu.png,undefined,undefined
YFIUSDT,3447004.47569000,bi,V,yfi.svg,high,https://www.tradingview.com/x/XEr8AgnW/
DASHUSDT,3334877.82945000,bi,V,dash.svg,high,https://www.tradingview.com/x/roY2Y6yC/
ICXUSDT,3318021.04037000,bi,V,icx.svg,high,https://www.tradingview.com/x/x1Qnz1gd/
CTSIUSDT,3266295.85110000,bi,V,ctsi.png,high,https://www.tradingview.com/x/KhgsJcTM/
IOSTUSDT,3253997.72704000,bi,V,iost.svg,low,https://www.tradingview.com/x/WtzaIXjA/
ZECUSDT,3176275.95655000,bi,V,zec.svg,high,https://www.tradingview.com/x/SnoxHv3k/
SLPUSDT,3172298.52639400,bi,V,slp.png,undefined,undefined
COMBOUSDT,3142752.34253000,bi,V,combo.png,undefined,undefined
KLAYUSDT,3122175.38986000,bi,V,klay.svg,medium,https://www.tradingview.com/x/rineyEfT/
GTCUSDT,3106975.36310000,bi,V,gtc.svg,undefined,undefined
XTZUSDT,3033683.59790000,bi,V,xtz.svg,high,https://www.tradingview.com/x/YRgOvKuu/
RLCUSDT,3024542.68160000,bi,V,rlc.svg,high,https://www.tradingview.com/x/Zw7f97rN/
HFTUSDT,2964531.99954000,bi,V,hft.png,undefined,undefined
IDEXUSDT,2911150.63488300,bi,V,idex.svg,low,https://www.tradingview.com/x/q0fWLbgT/
LOOMUSDT,2881496.84681000,bi,V,loom.svg,low,https://www.tradingview.com/x/K9ZXrZlW/
LITUSDT,2723414.37850000,bi,V,lit.svg,low,https://www.tradingview.com/x/AOQwNNIr/
ARKUSDT,2687541.35860000,bi,V,ark.svg,high,https://www.tradingview.com/x/cUEN8x3M/
STPTUSDT,2677319.40162700,bi,V,stpt.svg,undefined,undefined
AUDIOUSDT,2659499.97421000,bi,V,audio.svg,https://www.tradingview.com/x/psNBMkzh/,https://www.tradingview.com/x/SAB3zcE3/
SPELLUSDT,2638643.81756280,bi,V,spell.png,high,https://www.tradingview.com/x/4dHnU2OC/
WAXPUSDT,2536727.29562000,bi,V,waxp.png,medium,https://www.tradingview.com/x/wKxSlKqk/
KNCUSDT,2492871.37750000,bi,V,knc.svg,high,https://www.tradingview.com/x/zvScbVBT/
NMRUSDT,2300612.76220000,bi,V,nmr.svg,medium,https://www.tradingview.com/x/NuuAcF53/
ONGUSDT,2288031.13000000,bi,V,ong.png,low,https://www.tradingview.com/x/KlKHViaT/
OXTUSDT,2265739.07780000,bi,V,oxt.svg,medium,https://www.tradingview.com/x/YqKEi4rT/
STEEMUSDT,2221780.73604000,bi,V,steem.svg,low,https://www.tradingview.com/x/b1fEtV5p/
CVXUSDT,2070498.99800900,bi,V,cvx.svg,high,https://www.tradingview.com/x/gTn2tXIG/
1000PEPEUSDT,358746946.4231,by,I,1000pepe.svg,high,https://www.tradingview.com/x/vIkkA6OK/
SHIB1000USDT,95137186.3109,by,III,shib1000.svg,undefined,undefined
COREUSDT,73774269.0992,by,III,core.png,undefined,undefined
POPCATUSDT,71786625.4407,by,III,popcat.png,undefined,undefined
TONUSDT,64971324.4657,by,III,ton.png,high,https://www.tradingview.com/x/wYizhQEn/
ONDOUSDT,61102046.7740,by,III,ondo.png,undefined,undefined
DEGENUSDT,52592717.9048,by,III,degen.png,undefined,undefined
MNTUSDT,44410730.1964,by,IV,mnt.png,undefined,undefined
1000RATSUSDT,39707757.8035,by,IV,1000rats.png,undefined,undefined
SLERFUSDT,37379848.3081,by,IV,slerf.png,undefined,undefined
MYROUSDT,37007898.0643,by,IV,myro.png,undefined,undefined
1000FLOKIUSDT,33295544.7070,by,IV,1000floki.svg,medium,https://www.tradingview.com/x/MaQjQJ6L/
TOKENUSDT,24833245.7847,by,IV,token.png,undefined,undefined
10000LADYSUSDT,24601055.8292,by,IV,10000ladys.png,undefined,undefined
1000BONKUSDT,19980446.3953,by,IV,1000bonk.svg,undefined,undefined
1000XECUSDT,15910998.9174,biby,IV,1000xec.svg,high,https://www.tradingview.com/x/KKuZJoEf/
10000SATSUSDT,14070515.6468,by,IV,10000sats.svg,undefined,undefined
BIGTIMEUSDT,44452048.2745,biby,IV,bigtime.png,high,https://www.tradingview.com/x/603KyobR/
BSVUSDT,40371510.2849,biby,IV,bsv.svg,high,https://www.tradingview.com/x/L8et1dpg/
KASUSDT,11110076.9364,biby,IV,kas.png,medium,https://www.tradingview.com/x/NUrYngT8/
TAOUSDT,10886525.3536,by,IV,tao.png,undefined,undefined
10000000AIDOGEUSDT,10435789.0557,by,IV,10000000aidoge.png,undefined,undefined
AGIUSDT,10214819.8605,by,IV,agi.svg,undefined,undefined
FLRUSDT,9209314.5368,by,V,flr.png,undefined,undefined
PUNDUUSDT,8337229.5982,by,V,pundu.png,undefined,undefined
AKROUSDT,8067643.2765,by,V,akro.svg,undefined,undefined
ZKUSDT,7938621.2838,by,V,zk.png,undefined,undefined
BEAMUSDT,7279129.5600,by,V,beam.png,undefined,undefined
DODOUSDT,6925248.7260,by,V,dodo.svg,undefined,undefined
LOOKSUSDT,6527087.0069,by,V,looks.svg,undefined,undefined
ZETAUSDT,21080224.8622,biby,IV,zeta.png,undefined,undefined
ETHWUSDT,6000854.7358,biby,IV,ethw.png,low,https://www.tradingview.com/x/m5NVj5ma/
LUNA2USDT,24533499.7692,biby,IV,luna2.svg,undefined,undefined
ORNUSDT,5469207.2140,by,V,orn.svg,undefined,undefined
LTOUSDT,5392527.2518,by,V,lto.svg,undefined,undefined
ALPACAUSDT,5366683.5228,by,V,alpaca.png,undefined,undefined
VTHOUSDT,5065972.0910,by,V,vtho.png,undefined,undefined
GPTUSDT,4973782.6100,by,V,gpt.png,undefined,undefined
VRAUSDT,4841631.0541,by,V,vra.png,undefined,undefined
MAVIAUSDT,15752101.3067,biby,IV,mavia.png,undefined,undefined
SILLYUSDT,4113166.7019,by,V,silly.png,undefined,undefined
TOMIUSDT,4055429.9150,by,V,tomi.png,undefined,undefined
ORBSUSDT,10034619.3345,biby,IV,orbs.svg,high,https://www.tradingview.com/x/cReiyptN/
CVCUSDT,3883274.5410,by,V,cvc.svg,undefined,undefined
XMRUSDT,13724979.0330,biby,IV,xmr.svg,high,https://www.tradingview.com/x/kHTlxRqn/
RSS3USDT,3436900.2949,by,V,rss3.png,undefined,undefined
UMAUSDT,37366169.0235,biby,IV,uma.svg,high,https://www.tradingview.com/x/9Rp4nVpQ/
MOBILEUSDT,3273184.6463,by,V,mobile.png,undefined,undefined
MBOXUSDT,2893137.6722,by,V,mbox.png,undefined,undefined
1000LUNCUSDT,19865730.4168,biby,IV,1000lunc.svg,high,https://www.tradingview.com/x/Jmqyusby/
1CATUSDT,2660174.1155,by,V,1cat.png,undefined,undefined
DGBUSDT,2654289.6162,by,V,dgb.svg,undefined,undefined
RAREUSDT,2583944.2403,by,V,rare.png,undefined,undefined
XEMUSDT,27505383.4589,biby,IV,xem.svg,high,https://www.tradingview.com/x/LDon5VMx/
BTCUSDT,2977077447.90829600,biby,I,btc.svg,high,
ETHUSDT,1479722101.19612800,biby,I,eth.svg,high,
SOLUSDT,628733776.88820000,biby,I,sol.svg,high,
ENAUSDT,535294618.90850000,biby,I,ena.png,undefined,
DOGEUSDT,492928617.18637000,biby,I,doge.svg,high,https://www.tradingview.com/x/3X2IzpYW/
WIFUSDT,276365483.06341800,biby,I,wif.png,undefined,undefined
BNBUSDT,265187841.86640000,biby,I,bnb.svg,high,https://www.tradingview.com/x/RPC379Yj/
XRPUSDT,243528212.86480000,biby,I,xrp.svg,high,
CKBUSDT,205869044.23187100,biby,I,ckb.svg,high,https://www.tradingview.com/x/w8UUpYYU/
BOMEUSDT,200297048.53923800,biby,I,bome.png,undefined,undefined
ORDIUSDT,194147036.98972000,biby,II,ordi.png,high,https://www.tradingview.com/x/iQLMxGMg/
BCHUSDT,133752751.10360000,biby,II,bch.svg,low,https://www.tradingview.com/x/5EgUB5MY/
NEARUSDT,131040529.30480000,biby,II,near.svg,high,https://www.tradingview.com/x/NomJAPF6/
LTCUSDT,114317774.38167000,biby,II,ltc.svg,medium,https://www.tradingview.com/x/sliW2DxU/
ETHFIUSDT,114124407.55130000,biby,II,ethfi.png,undefined,undefined
ALTUSDT,106245785.23966000,biby,II,alt.png,undefined,undefined
PENDLEUSDT,104611555.81128000,biby,II,pendle.svg,high,https://www.tradingview.com/x/BdBKQNeC/
YGGUSDT,96250580.67800000,biby,III,ygg.png,undefined,undefined
ARBUSDT,92052646.83533000,biby,III,arb.png,undefined,undefined
AVAXUSDT,91064999.23910000,biby,III,avax.svg,high,https://www.tradingview.com/x/7THSCvoC/
RUNEUSDT,88126698.80820000,biby,III,rune.svg,high,https://www.tradingview.com/x/Vd110QUd/
WUSDT,87592962.48100000,biby,III,w.png,undefined,undefined
FTMUSDT,78100183.20770000,biby,III,ftm.svg,high,https://www.tradingview.com/x/THuKZdA1/
BICOUSDT,71397232.27211700,biby,III,bico.png,high,https://www.tradingview.com/x/TIa80Ydz/
FETUSDT,69743091.48750000,biby,III,fet.svg,high,https://www.tradingview.com/x/Zg555SdI/
ADAUSDT,68197576.39251000,biby,III,ada.svg,high,https://www.tradingview.com/x/O8bh5oVr/
JTOUSDT,67410512.93388000,biby,III,jto.png,undefined,undefined
GALAUSDT,66916011.64119000,biby,III,gala.svg,undefined,https://www.tradingview.com/x/NFGA2Jtr/
OPUSDT,66570125.94404000,biby,III,op.png,high,https://www.tradingview.com/x/17esbFDO/
WLDUSDT,64964457.90280000,biby,III,wld.png,undefined,undefined
FILUSDT,61568187.94193000,biby,III,fil.svg,high,https://www.tradingview.com/x/KHCsMWqP/
MATICUSDT,59176522.89320000,biby,III,matic.svg,high,https://www.tradingview.com/x/WsFRAokm/
BELUSDT,59118603.36212000,biby,III,bel.svg,undefined,https://www.tradingview.com/x/sUkLVYn7/
OMUSDT,56268163.72072000,biby,III,om.png,undefined,https://www.tradingview.com/x/cdhv2ZX1/
ETCUSDT,55616447.23640000,biby,III,etc.svg,high,https://www.tradingview.com/x/CGLzc6Jj/
AEVOUSDT,55548456.41320000,biby,III,aevo.png,undefined,undefined
SFPUSDT,54932244.65380000,biby,III,sfp.svg,medium,https://www.tradingview.com/x/WZ1qIacn/
LINKUSDT,52883996.96408000,biby,III,link.svg,high,
JUPUSDT,49764542.79167000,biby,IV,jup.png,undefined,undefined
APTUSDT,47911654.42241600,biby,IV,apt.png,high,https://www.tradingview.com/x/01AOHMVF/
DOTUSDT,44136209.18236000,biby,IV,dot.svg,high,https://www.tradingview.com/x/ZQzNLMCm/
NEOUSDT,43768283.62910000,biby,IV,neo.svg,high,https://www.tradingview.com/x/bMPvNAu5/
SUIUSDT,43236161.43043000,biby,IV,sui.png,high,https://www.tradingview.com/x/yQv1YJBP/
RNDRUSDT,41680348.79699000,biby,IV,rndr.png,undefined,undefined
LDOUSDT,40918498.54505000,biby,IV,ldo.svg,high,https://www.tradingview.com/x/EFaVgHci/
LEVERUSDT,40726036.01027800,biby,IV,lever.png,undefined,https://www.tradingview.com/x/IcfsHz9l/
INJUSDT,40325289.12900000,biby,IV,inj.png,medium,https://www.tradingview.com/x/0gxlIWtS/
TRXUSDT,38959850.87257300,biby,IV,trx.svg,high,https://www.tradingview.com/x/Okuzho0k/
MANTAUSDT,38319057.75310000,biby,IV,manta.png,undefined,undefined
POLYXUSDT,37560810.63371000,biby,IV,polyx.png,medium,https://www.tradingview.com/x/sIqQJ9If/
ICPUSDT,36653323.92328000,biby,IV,icp.svg,high,https://www.tradingview.com/x/EvTqwQwn/
STXUSDT,35998432.66830000,biby,IV,stx.svg,undefined,https://www.tradingview.com/x/Jl8s7GH3/
STRKUSDT,35887131.13508000,biby,IV,strk.png,undefined,https://www.tradingview.com/x/oyq0ZivN/
TIAUSDT,28800976.85400000,biby,IV,tia.png,undefined,undefined
AGIXUSDT,28645680.83243000,biby,IV,agix.png,high,https://www.tradingview.com/x/uNkQcZhW/
AXLUSDT,27159375.73962600,biby,IV,axl.png,high,https://www.tradingview.com/x/Kmguc0ER/
PIXELUSDT,26957004.13330000,biby,IV,pixel.png,undefined,undefined
KEYUSDT,26903224.61926700,biby,IV,key.svg,undefined,https://www.tradingview.com/x/1cqfj23N/
GMTUSDT,26644553.38935000,biby,IV,gmt.png,low,https://www.tradingview.com/x/7CFfD5Ss/
ANKRUSDT,26050677.09220100,biby,IV,ankr.svg,medium,https://www.tradingview.com/x/tV0PCLg3/
ATOMUSDT,25173053.46842000,biby,IV,atom.svg,high,https://www.tradingview.com/x/g9IggR5j/
PORTALUSDT,25144325.42583000,biby,IV,portal.png,undefined,undefined
C98USDT,24844031.44264000,biby,IV,c98.svg,medium,https://www.tradingview.com/x/77HXyRSH/
JASMYUSDT,24402764.88835970,biby,IV,jasmy.png,undefined,https://www.tradingview.com/x/6wzaQySQ/
SEIUSDT,24376311.05058000,biby,IV,sei.png,high,https://www.tradingview.com/x/SzyDucR2/
MEMEUSDT,23466292.20280700,biby,IV,meme.png,undefined,https://www.tradingview.com/x/l7L6nilt/
NKNUSDT,22947211.60020000,biby,IV,nkn.svg,low,https://www.tradingview.com/x/RXKBkezO/
VETUSDT,22907262.08919400,biby,IV,vet.svg,high,https://www.tradingview.com/x/9Uy06nVw/
MKRUSDT,22859443.93700000,biby,IV,mkr.svg,high,https://www.tradingview.com/x/29f7yNid/
XVGUSDT,20923877.29650600,biby,IV,xvg.svg,medium,https://www.tradingview.com/x/NzW0ilPz/
CFXUSDT,20866256.81430000,biby,IV,cfx.svg,medium,https://www.tradingview.com/x/cOJnoicR/
CHZUSDT,19516527.64950000,biby,IV,chz.svg,undefined,https://www.tradingview.com/x/NAXuh8zU/
DYDXUSDT,19104610.74670000,biby,IV,dydx.png,high,https://www.tradingview.com/x/SK8efRqo/
APEUSDT,18962535.58536000,biby,IV,ape.png,undefined,https://www.tradingview.com/x/ZixvIsJr/
IOTXUSDT,18894060.54818000,biby,IV,iotx.svg,high,https://www.tradingview.com/x/mpZtTygk/
GRTUSDT,18840153.79350000,biby,IV,grt.svg,medium,https://www.tradingview.com/x/5ZrmmdvS/
UNIUSDT,18729759.84559000,biby,IV,uni.svg,high,https://www.tradingview.com/x/YDhxfq4M/
TRUUSDT,18467785.89954000,biby,IV,tru.svg,low,https://www.tradingview.com/x/tDGWPDPS/
ZRXUSDT,18197590.21480000,biby,IV,zrx.svg,medium,https://www.tradingview.com/x/2CEBBajZ/
ARKMUSDT,17143425.88700000,biby,IV,arkm.png,undefined,undefined
XVSUSDT,17112009.23520000,biby,IV,xvs.png,undefined,https://www.tradingview.com/x/6YKIt7zM/
HIGHUSDT,16738029.22416600,biby,IV,high.svg,low,https://www.tradingview.com/x/D7cmEQ1n/
GMXUSDT,15602072.24908000,biby,IV,gmx.png,high,https://www.tradingview.com/x/dpFpb17m/
SANDUSDT,15580577.34730000,biby,IV,sand.svg,medium,https://www.tradingview.com/x/3CyV07Dn/
RSRUSDT,15397446.39979360,biby,IV,rsr.svg,high,https://www.tradingview.com/x/JbLf84gT/
HBARUSDT,14869167.08940000,biby,IV,hbar.svg,high,https://www.tradingview.com/x/9JLRdGNf/
SSVUSDT,14202410.63817000,biby,IV,ssv.png,high,https://www.tradingview.com/x/L97pHQc4/
QTUMUSDT,14185662.60250000,biby,IV,qtum.svg,low,https://www.tradingview.com/x/Dq7gqCoS/
AIUSDT,13534656.20100000,biby,IV,ai.png,undefined,https://www.tradingview.com/x/oiTPgYxA/
KAVAUSDT,13402391.03030000,biby,IV,kava.svg,high,https://www.tradingview.com/x/sB2ocJ5U/
ARUSDT,13344082.69610000,biby,IV,ar.svg,medium,https://www.tradingview.com/x/Dkknfi4k/
THETAUSDT,13202700.49940000,biby,IV,theta.svg,medium,https://www.tradingview.com/x/4z1l1SgI/
GLMRUSDT,12569238.66558000,biby,IV,glmr.png,medium,https://www.tradingview.com/x/SjoBaVAQ/
DYMUSDT,12444633.76620000,biby,IV,dym.png,undefined,undefined
PYTHUSDT,12087888.87240000,biby,IV,pyth.png,undefined,undefined
AAVEUSDT,12063268.37508000,biby,IV,aave.svg,high,https://www.tradingview.com/x/lHwR8JuO/
MASKUSDT,12061484.84790000,biby,IV,mask.png,medium,https://www.tradingview.com/x/9dHkdu39/
FRONTUSDT,11831785.56990000,biby,IV,front.svg,undefined,https://www.tradingview.com/x/pv28rO2f/
EOSUSDT,11703491.68873000,biby,IV,eos.svg,medium,https://www.tradingview.com/x/7wRcSSDB/
ROSEUSDT,11678301.52618800,biby,IV,rose.svg,high,https://www.tradingview.com/x/vv0hb0WQ/
ALPHAUSDT,11511862.92350000,biby,IV,alpha.svg,low,https://www.tradingview.com/x/Vqt2HYyc/
OCEANUSDT,11296049.52700000,biby,IV,ocean.svg,high,https://www.tradingview.com/x/Gy6m0f6t/
ENSUSDT,11064248.25450000,biby,IV,ens.png,medium,https://www.tradingview.com/x/qneYBReu/
VANRYUSDT,10977226.37927000,biby,IV,vanry.png,undefined,undefined
ZENUSDT,10838197.86240000,biby,IV,zen.svg,high,https://www.tradingview.com/x/dgNF9Qbv/
AXSUSDT,10789684.48504000,biby,IV,axs.svg,medium,https://www.tradingview.com/x/wKRp4HpQ/
CAKEUSDT,10531151.78218000,biby,IV,cake.svg,undefined,undefined
BNTUSDT,10428272.16163000,biby,IV,bnt.svg,high,https://www.tradingview.com/x/ifVRkR66/
DUSKUSDT,10061868.61020000,biby,IV,dusk.png,high,https://www.tradingview.com/x/oIjNp9yp/
HIFIUSDT,10008281.53440000,biby,IV,hifi.png,low,https://www.tradingview.com/x/xJ15CWeB/
XLMUSDT,9975132.42800000,biby,V,xlm.svg,high,https://www.tradingview.com/x/lkyrGvYu/
ALGOUSDT,9669745.49490000,biby,V,algo.svg,high,https://www.tradingview.com/x/YzECttAs/
MINAUSDT,9549458.32664000,biby,V,mina.svg,high,https://www.tradingview.com/x/2XnURevD/
GASUSDT,9460424.00560000,biby,V,gas.png,undefined,https://www.tradingview.com/x/kjS8uTPG/
LQTYUSDT,9449693.25620000,biby,V,lqty.svg,high,https://www.tradingview.com/x/l9NU7asK/
STGUSDT,9303866.71332000,biby,V,stg.png,undefined,https://www.tradingview.com/x/dajlVVTB/
NTRNUSDT,8935344.64711000,biby,V,ntrn.png,undefined,undefined
CHRUSDT,8884488.20700000,biby,V,chr.png,undefined,https://www.tradingview.com/x/zbn0FfuY/
FLMUSDT,8772433.65040000,biby,V,flm.png,low,https://www.tradingview.com/x/30eokEov/
NFPUSDT,8673693.37617000,biby,V,nfp.png,undefined,undefined
CELOUSDT,8672618.70570000,biby,V,celo.svg,high,https://www.tradingview.com/x/xA2CPHlQ/
CRVUSDT,8560816.14637000,biby,V,crv.svg,high,https://www.tradingview.com/x/JoGBlH8t/
SNXUSDT,8551567.39860000,biby,V,snx.svg,high,https://www.tradingview.com/x/LPixgwXW/
MAVUSDT,8458481.68370000,biby,V,mav.png,undefined,undefined
XAIUSDT,8449670.45348000,biby,V,xai.png,undefined,undefined
WAVESUSDT,8405782.83792000,biby,V,waves.svg,high,https://www.tradingview.com/x/bvL4yIq2/
RVNUSDT,8250299.31737600,biby,V,rvn.svg,medium,https://www.tradingview.com/x/4jPimCtp/
EGLDUSDT,8119742.29940000,biby,V,egld.svg,high,https://www.tradingview.com/x/6kccFvEe/
FLOWUSDT,7601093.08033000,biby,V,flow.svg,high,https://www.tradingview.com/x/2bfOJOC7/
OGNUSDT,7575307.44560000,biby,V,ogn.svg,high,https://www.tradingview.com/x/wtNhJfB0/
MAGICUSDT,7517622.12727000,biby,V,magic.png,medium,https://www.tradingview.com/x/rWWP0AT2/
ACEUSDT,7400071.59002000,biby,V,ace.png,undefined,undefined
1INCHUSDT,7396537.45537000,biby,V,1inch.svg,high,https://www.tradingview.com/x/HmO26aJW/
ZILUSDT,7361741.21995400,biby,V,zil.svg,high,https://www.tradingview.com/x/DKt2Lol9/
MANAUSDT,7137813.09290000,biby,V,mana.svg,high,https://www.tradingview.com/x/TFF70Y6C/
BONDUSDT,6972638.08135000,biby,V,bond.svg,low,https://www.tradingview.com/x/FXFWgM14/
IMXUSDT,6968721.52320700,biby,V,imx.png,high,https://www.tradingview.com/x/j29ljzF5/
BLURUSDT,6951302.68849000,biby,V,blur.png,undefined,https://www.tradingview.com/x/Q0isLsqx/
CYBERUSDT,6787627.07604000,biby,V,cyber.png,undefined,undefined
TUSDT,6587065.32489200,biby,V,t.png,high,https://www.tradingview.com/x/lBdXF27k/
MOVRUSDT,6533772.17825400,biby,V,movr.png,low,https://www.tradingview.com/x/U7pppFuG/
UNFIUSDT,6515874.73730000,biby,V,unfi.svg,undefined,https://www.tradingview.com/x/9KCFybNi/
ONTUSDT,6341927.82740000,biby,V,ont.svg,medium,https://www.tradingview.com/x/tLBmTChd/
BAKEUSDT,6246649.68983000,biby,V,bake.png,low,https://www.tradingview.com/x/rLjJQWs0/
COTIUSDT,6242995.36504000,biby,V,coti.svg,low,https://www.tradingview.com/x/UeWVkVed/
JOEUSDT,6149585.60052700,biby,V,joe.png,high,https://www.tradingview.com/x/RupMTamU/
REEFUSDT,6112684.53657200,biby,V,reef.png,low,https://www.tradingview.com/x/8weIeqa2/
IDUSDT,6034630.19696000,biby,V,id.png,undefined,https://www.tradingview.com/x/TO0viAiX/
BADGERUSDT,5901154.98922000,biby,V,badger.png,low,https://www.tradingview.com/x/XD5CviGK/
ATAUSDT,5722973.80310000,biby,V,ata.png,medium,https://www.tradingview.com/x/nM2xIHGM/
PEOPLEUSDT,5532474.37684000,biby,V,people.png,undefined,https://www.tradingview.com/x/FYdxLmec/
SUSHIUSDT,5442841.82310000,biby,V,sushi.svg,medium,https://www.tradingview.com/x/2EetiChf/
TRBUSDT,5183053.36220000,biby,V,trb.svg,high,https://www.tradingview.com/x/uh6jbncm/
LPTUSDT,5174269.06940000,biby,V,lpt.svg,high,https://www.tradingview.com/x/2sarAAvD/
WOOUSDT,5021150.27319000,biby,V,woo.svg,undefined,https://www.tradingview.com/x/o44Jvyom/
BLZUSDT,4967083.93510000,biby,V,blz.svg,low,https://www.tradingview.com/x/f3a12DBV/
API3USDT,4825207.06836000,biby,V,api3.png,high,https://www.tradingview.com/x/l7gqv2A7/
BNXUSDT,4815885.69043000,biby,V,bnx.png,undefined,undefined
COMPUSDT,4785663.48711000,biby,V,comp.svg,medium,https://www.tradingview.com/x/fDFvmDyO/
GLMUSDT,4777995.27572000,biby,V,glm.png,high,https://www.tradingview.com/x/j0Wsuahh/
LINAUSDT,4694774.28570217,biby,V,lina.png,undefined,https://www.tradingview.com/x/sUz3JXKI/
GALUSDT,4666569.89920400,biby,V,gal.png,undefined,https://www.tradingview.com/x/V5tBELMg/
ONEUSDT,4593302.95340600,biby,V,one.svg,undefined,https://www.tradingview.com/x/jIidKn4Z/
MTLUSDT,4590459.63320000,biby,V,mtl.svg,undefined,https://www.tradingview.com/x/BKobnvaX/
AUCTIONUSDT,4556842.60480000,biby,V,auction.png,low,https://www.tradingview.com/x/zKygbcgd/
RIFUSDT,4497234.35950000,biby,V,rif.svg,undefined,https://www.tradingview.com/x/Nu7oaPZ2/
HOTUSDT,4328072.08655200,biby,V,hot.svg,medium,https://www.tradingview.com/x/rdGyNEP9/
KSMUSDT,4245474.27178000,biby,V,ksm.svg,high,https://www.tradingview.com/x/TlqvCAW7/
SUPERUSDT,3844252.65410000,biby,V,super.svg,undefined,https://www.tradingview.com/x/1kBYHwoH/
STORJUSDT,3629771.08050000,biby,V,storj.svg,high,https://www.tradingview.com/x/K7ULrKb1/
SKLUSDT,3604058.30433000,biby,V,skl.svg,high,https://www.tradingview.com/x/5LmnEM6L/
LSKUSDT,3420803.51370000,biby,V,lsk.svg,high,https://www.tradingview.com/x/JqkAgF3x/
RENUSDT,3360771.40067800,biby,V,ren.svg,low,https://www.tradingview.com/x/uv4rLOP0/
OMGUSDT,2630381.49170000,biby,V,omg.svg,low,https://www.tradingview.com/x/d3UVZ0ro/
ALICEUSDT,2457651.70251000,biby,V,alice.png,undefined,https://www.tradingview.com/x/pgcafUSs/
